Mon,FarASName,FarASN,FarIP,NearIP,far_p,near_p,far_diff,near_diff,code,far_cong_loss_rate,far_uncong_loss_rate,near_cong_loss_rate,near_uncong_loss_rate,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
msy-us,AMAZON-02 - Amazon.com Inc.,16509,52.95.218.214,68.1.4.252,0.448,0.125,0.011,-0.139,failure-NearCongLower-NotSignificant,0.028,0.017,0.167,0.239,07_01_2017_07_31_2017,3586,6,208800812,499440,1,3584,19601,118416472
msy-us,MFNX MFN - Metromedia Fiber Network,6461,64.125.12.165,68.1.2.109,1,0.07,-0.041,-0.021,failure-FarCongLower-NotSignificant,0.031,0.072,0.052,0.231,07_01_2017_07_31_2017,63603,33,1053864154,2440243,18,58893,641054,893399775
msy-us,WVFIBER-1 - WV FIBER,19151,64.127.128.129,68.1.2.109,1,1,-0.72,0,failure-FarCongLower-NotSignificant,0,0.72,0,0.231,07_01_2017_07_31_2017,995,0,3051784866,7066139,0,242,12068388,1663288709
msy-us,NETFLIX Netflix Streaming Inc.,2906,68.105.30.125,68.1.4.133,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,CW Cable and Wireless Worldwide plc,1273,68.105.30.127,68.1.2.121,1,1,-0.031,1.014,failure-FarCongLower-NotSignificant,0.014,0.045,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,8,55774,282109,622490291
msy-us,AOL-ATDN - AOL Transit Data Network,1668,68.105.30.18,68.1.2.121,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.30.206,68.1.4.42,1,1,-0.008,1,failure-FarCongLower-NotSignificant,0,0.008,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,0,688,56018,710010808
msy-us,APPLE Apple Inc,714,68.105.30.210,68.1.4.42,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.30.238,68.1.4.42,1,1,-0.011,1,failure-FarCongLower-NotSignificant,0,0.011,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,0,1712,76400,725850240
msy-us,MFNX MFN - Metromedia Fiber Network,6461,68.105.31.102,68.1.5.157,0.393,0.055,-0.014,-0.033,failure-FarCongLower-NotSignificant,0.016,0.03,0.049,0.137,07_01_2017_07_31_2017,106191,52,867224344,1187465,3,18314,48135,158230615
msy-us,AMAZON-02 - Amazon.com Inc.,16509,68.105.31.114,68.1.5.161,1,0.339,-0.005,-0.02,failure-FarCongLower-NotSignificant,0.008,0.013,0.028,0.049,07_01_2017_07_31_2017,56796,16,949611610,461180,1,12433,22769,170693015
msy-us,AKAMAI-ASN1 Akamai International B.V.,20940,68.105.31.126,68.1.5.157,0.435,0,-0.008,-0.049,failure-FarCongLower-NotSignificant,0,0.008,0.049,0.137,07_01_2017_07_31_2017,105593,52,1015617768,1390639,0,23337,14292,184725377
